periodo;indice;valor
201508;metro_linea_2_buses;336823
201508;metro_cuenca_3;537028
201508;metro_cuenca_6;971531
201608;metro_linea_a;15599692
201608;metro_linea_b;2734621
201608;metro_linea_k;649181
201608;metro_linea_j;424344
201608;metro_linea_l;90077
201608;metro_linea_1_buses;2102085
201608;metro_linea_2_buses;347482
201608;metro_cuenca_3;598073
201608;metro_cuenca_6;1111041
201608;metro_cuenca_7_integrados;393626
201608;metro_cuenca_5_integrados;0
201608;metro_tranvia;480355
201608;metro_linea_h;0
201707;metro_cuenca_9_integrados;112818
201708;metro_linea_a;15590911
201708;metro_linea_b;2822260
201708;metro_linea_k;648320
201708;metro_linea_j;441147
201708;metro_linea_l;92092
201708;metro_linea_1_buses;2169768
201708;metro_linea_2_buses;339521
201708;metro_cuenca_3;650271
201708;metro_cuenca_6;1107986
201708;metro_cuenca_7_integrados;408586
201708;metro_cuenca_5_integrados;426122
201708;metro_tranvia;662777
201708;metro_linea_h;60882
201109;metro_linea_a;11779626
201109;metro_linea_b;2058446
201109;metro_linea_k;439345
201109;metro_linea_j;257191
201109;metro_linea_l;51160
201109;metro_linea_1_buses;0
201209;metro_linea_a;11664331
201209;metro_linea_b;2057264
201209;metro_linea_k;541430
201209;metro_linea_j;285202
201209;metro_linea_l;61751
201209;metro_linea_1_buses;978363
201309;metro_linea_a;12975914
201309;metro_linea_b;2211821
201309;metro_linea_k;563977
201309;metro_linea_j;340583
201309;metro_linea_l;51831
201309;metro_linea_1_buses;1401196
201309;metro_linea_2_buses;150268
201309;metro_cuenca_3;0
201309;metro_cuenca_6;0
201409;metro_linea_a;13876280
201409;metro_linea_b;2362408
201409;metro_linea_k;584510
201409;metro_linea_j;371036
201409;metro_linea_l;46398
201409;metro_linea_1_buses;1852990
201409;metro_linea_2_buses;362362
201409;metro_cuenca_3;489630
201409;metro_cuenca_6;907280
201509;metro_linea_a;15259578
201509;metro_linea_b;2563185
201509;metro_linea_k;620170
201509;metro_linea_j;416523
201509;metro_linea_l;56535
201509;metro_linea_1_buses;1978038
201509;metro_linea_2_buses;349343
201509;metro_cuenca_3;559120
201509;metro_cuenca_6;1034346
201609;metro_linea_a;15426388
201609;metro_linea_b;2651233
201609;metro_linea_k;629031
201609;metro_linea_j;424451
201609;metro_linea_l;59968
201609;metro_linea_1_buses;2049751
201609;metro_linea_2_buses;345948
201609;metro_cuenca_3;592336
201609;metro_cuenca_6;1109726
201609;metro_cuenca_7_integrados;394334
201609;metro_cuenca_5_integrados;0
201609;metro_tranvia;419035
201609;metro_linea_h;0
201708;metro_cuenca_9_integrados;127627
201709;metro_linea_a;15403265
201709;metro_linea_b;2769498
201709;metro_linea_k;634354
201709;metro_linea_j;443323
201709;metro_linea_l;59358
201709;metro_linea_1_buses;2113366
201709;metro_linea_2_buses;334044
201709;metro_cuenca_3;629842
201709;metro_cuenca_6;1097723
201709;metro_cuenca_7_integrados;405479
201709;metro_cuenca_5_integrados;424417
201709;metro_tranvia;654798
201709;metro_linea_h;60699
201110;metro_linea_a;11733842
201110;metro_linea_b;2066289
201110;metro_linea_k;564963
201110;metro_linea_j;267591
201110;metro_linea_l;71958
201110;metro_linea_1_buses;0
201210;metro_linea_a;12455682
201210;metro_linea_b;2183514
201210;metro_linea_k;568586
201210;metro_linea_j;297366
201210;metro_linea_l;63329
201210;metro_linea_1_buses;1070447
201310;metro_linea_a;13548928
201310;metro_linea_b;2301295
201310;metro_linea_k;589008
201310;metro_linea_j;359663
201310;metro_linea_l;64556
201310;metro_linea_1_buses;1453615
201310;metro_linea_2_buses;159941
201310;metro_cuenca_3;7200
201310;metro_cuenca_6;1271
201410;metro_linea_a;14458862
201410;metro_linea_b;2457612
201410;metro_linea_k;604380
201410;metro_linea_j;383101
201410;metro_linea_l;55807
201410;metro_linea_1_buses;1878149
201410;metro_linea_2_buses;365020
201410;metro_cuenca_3;494671
201410;metro_cuenca_6;924596
201510;metro_linea_a;15367531
201510;metro_linea_b;2588079
201510;metro_linea_k;634265
201510;metro_linea_j;422395
201510;metro_linea_l;68698
201510;metro_linea_1_buses;1965176
201510;metro_linea_2_buses;348987
201510;metro_cuenca_3;570201
201510;metro_cuenca_6;1071318
201610;metro_linea_a;15215438
201610;metro_linea_b;2624743
201610;metro_linea_k;637260
201610;metro_linea_j;422982
201610;metro_linea_l;77622
201610;metro_linea_1_buses;2059090
201610;metro_linea_2_buses;338737
